id,Line,Number,JapanName,EnglishName
1,G,1,渋谷,Shibuya
2,G,2,表参道,Ometo-sando
3,G,3,外苑前,Gaiemmae
4,G,4,青山一丁目,Aoyama-itchome
5,G,5,赤坂見附,Akasaka-mitsuke
6,G,6,溜池山王,Tameiki-sanno
7,G,7,虎ノ門,Toranomon Hills
8,G,8,新橋,Shimbashi
9,G,9,銀座,Ginza
10,G,10,京橋,Kyobashi
11,G,11,日本橋 ,Nihombashi
12,G,12,三越前,Mitsukoshimae
13,G,13,神田,Kanda
14,G,14,末広町,Suehirocho
15,G,15,上野広小路 ,Ueno-hirokoji
16,G,16,上野,Ueno
17,G,17,稲荷町,Inaricho
18,G,18,田原町,Tawaramachi
19,G,19,浅草,Asakusa
20,M,1,荻窪 ,Ogikubo
21,M,2,南阿佐ケ谷 ,Minami-asagaya
22,M,3,新高円寺 ,Sin-koenji
23,M,4,東高円寺 ,Higashi-koenji
24,M,5,新中野 ,Shin-nakano
25,M,6,中野坂上 ,Nakano-sakaue
26,M,7,西新宿 ,Nishi-shinjuku
27,M,8,新宿 ,Shinjuku-nishiguchi
28,M,9,新宿三丁目,Shinjuku-sanchome
29,M,10,新宿御苑前,Shinjuku-gyoemmae
30,M,11,四谷三丁目,Yotsuya-sanchome
31,M,12,四ツ谷,Yotasuya
32,M,13,赤坂見附,Akasaka-mutsuke
33,M,14,国会議事堂前 ,Kokki-gijidomae
34,M,15,霞ケ関,Kasumigaseki
35,M,16,銀座,Ginza
36,M,17,東京,Tokyo
37,M,18,大手町 ,Otemachi
38,M,19,淡路町,Awajicho
39,M,20,御茶ノ水,Ochanomizu
40,M,21,本郷三丁目,Hongo-sanchome
41,M,22,後楽園,Korakuen
42,M,23,茗荷谷,Myogadani
43,M,24,新大塚 ,Shin-otsuka
44,M,25,池袋,Ikebukuro
45,H,1,中目黒,Naka-meguro
46,H,2,恵比寿,Ebisu
47,H,3,広尾,Hiro-o
48,H,4,六本木 ,Roppongi
49,H,5,神谷町 ,Kamiyacho
50,H,6,虎ノ門ヒルズ ,Toranomon-hills
51,H,7,霞ケ関,Kasumigaseki
52,H,8,日比谷,Hibiya
53,H,9,銀座,Ginza
54,H,10,東銀座 ,Higashi-ginza
55,H,11,築地,Tsukiji
56,H,12,八丁堀,Hatchobori
57,H,13,茅場町 ,Kayabacho
58,H,14,人形町,Ningyocho
59,H,15,小伝馬町,Kodemmacho
60,H,16,秋葉原,Akihabara
61,H,17,仲御徒町,Naka-okachimachi
62,H,18,上野 ,Ueno
63,H,19,入谷 ,Iriya
64,H,20,三ノ輪 ,Minowa
65,H,21,南千住,Minami-senju
66,H,22,北千住,Kita-senju
67,T,1,中野,Nakano
68,T,2,落合 ,Ochiai
69,T,3,高田馬場,Takadanobaba
70,T,4,早稲田,Waseda
71,T,5,神楽坂,Kagurazaka
72,T,6,飯田橋,Iidabashi
73,T,7,九段下,Kudanshita
74,T,8,竹橋,Takebashi
75,T,9,大手町,Otemachi
76,T,10,日本橋 ,Nihombashi
77,T,11,茅場町,Kayabacho
78,T,12,門前仲町,Monzen-nakacho
79,T,13,木場,Kiba
80,T,14,東陽町,Toyocho
81,T,15,南砂町,Minami-sunamachi
82,T,16,西葛西,Nishi-kasai
83,T,17,葛西,Kasai
84,T,18,浦安 ,Urayasu
85,T,19,南行徳,Minami-gyotoku
86,T,20,行徳,Gyotoku
87,T,21,妙典,Myoden
88,T,22,原木中山,Baraki-nakayama
89,T,23,西船橋,Nishi-funabashi
90,C,1,代々木上原,Yoyogi-uehara
91,C,2,代々木公園,Yoyogi-koen
92,C,3,明治神宮前 ,Meiji-jingumae <Harajuku>
93,C,4,表参道,Omote-sando
94,C,5,乃木坂,Nogizaka
95,C,6,赤坂,Akasaka
96,C,7,国会議事堂前,Kokkai-gijidomae
97,C,8,霞ケ関,Kasumigaseki
98,C,9,日比谷,Hibiya
99,C,10,二重橋前,Nijubashimae <Marunouchi>
100,C,11,大手町,Otemachi
101,C,12,新御茶ノ水 ,Shin-ochanomizu
102,C,13,湯島,Yushima
103,C,14,根津,Nezu
104,C,15,千駄木,Sendagi
105,C,16,西日暮里,Nishi-nippori
106,C,17,町屋,Machiya
107,C,18,北千住,Kita-senju
108,C,19,綾瀬,Ayase
109,C,20,北綾瀬,Kita-ayase
110,Y,1,和光市,Wakoshi
111,Y,2,地下鉄成増,Chikatetsu-narimasu
112,Y,3,地下鉄赤塚,Chikatetsu-akatsuka
113,Y,4,平和台 ,Heiwadai
114,Y,5,氷川台,Hikawadai
115,Y,6,小竹向原,Kotake-mukaihara
116,Y,7,千川,Senkawa
117,Y,8,要町,Kanamecho
118,Y,9,池袋,Ikebukuro
119,Y,10,東池袋 ,Higashi-ikebukuro
120,Y,11,護国寺 ,Gokokuji
121,Y,12,江戸川橋,Edogawabashi
122,Y,13,飯田橋,Iidabashi
123,Y,14,市ケ谷,Ichigaya
124,Y,15,麹町,Kojimachi
125,Y,16,永田町,Nagatacho
126,Y,17,桜田門,Sakuradamon
127,Y,18,有楽町,Yurakucho
128,Y,19,銀座一丁目,Ginza-itchome
129,Y,20,新富町,Shintomicho
130,Y,21,月島,Tsukishima
131,Y,22,豊洲,Toyosu
132,Y,23,辰巳,Tatsumi
133,Y,24,新木場,Shin-kiba
134,Z,1,渋谷,Shibuya
135,Z,2,表参道 ,Omote-sando
136,Z,3,青山一丁目 ,Aoyama-itchome
137,Z,4,永田町,Nagatacho
138,Z,5,半蔵門,Hanzomon
139,Z,6,九段下,Kudanshita
140,Z,7,神保町,Jimbocho
141,Z,8,大手町,Otemachi
142,Z,9,三越前,Mitsukoshimae
143,Z,10,水天宮前,Suitengumae
144,Z,11,清澄白河,Kiyosumi-shirakawa
145,Z,12,住吉,Sumiyoshi
146,Z,13,錦糸町,Kinshicho
147,Z,14,押上,Oshiage <SKYTREE>
148,N,1,目黒,Meguro
149,N,2,白金台,Shirokanedai
150,N,3,白金高輪,Shirokane-takanawa
151,N,4,麻布十番,Azabu-juban
152,N,5,六本木一丁目 ,Roppongi-itchome
153,N,6,溜池山王,Tameike-sanno
154,N,7,永田町,Nagatacho
155,N,8,四ツ谷,Yotsuya
156,N,9,市ケ谷,Ichigaya
157,N,10,飯田橋,Iidabashi
158,N,11,後楽園,Korakuen
159,N,12,東大前,Todaimae
160,N,13,本駒込,Hon-komagome
161,N,14,駒込,Komagome
162,N,15,西ケ原,Nishigahara
163,N,16,王子,Oji
164,N,17,王子神谷,Oji-kamiya
165,N,18,志茂,Shimo
166,N,19,赤羽岩淵,Akabane-iwabuchi
167,F,1,和光市,Wakoshi
168,F,2,地下鉄成増,Chikatetsu-narimasu
169,F,3,地下鉄赤塚,Chikatetsu-akatsuka
170,F,4,平和台,Heiwadai
171,F,5,氷川台,Hikawadai
172,F,6,小竹向原,Kotake-mukaihara
173,F,7,千川,Senkawa
174,F,8,要町,Kanamecho
175,F,9,池袋,Ikebukuro
176,F,10,雑司が谷,Zoshigaya
177,F,11,西早稲田,Nishi-waseda
178,F,12,東新宿,Higashi-shinjuku
179,F,13,新宿三丁目,Shinjuku-sanchome
180,F,14,北参道,Kita-sando
181,F,15,明治神宮前,Meiji-jingumae <Harajuku>
182,F,16,渋谷,Shibuya
183,E,1,新宿西口,Shinjuku-nishiguchi
184,E,2,東新宿,Hagashi-shinjuku
185,E,3,若松河田,Wakamatsu-kawada
186,E,4,牛込柳町 ,Ushigome-Yanagicho
187,E,5,牛込神楽坂 ,Ushigome-kagurazaka
188,E,6,飯田橋,Lidabashi
189,E,7,春日,Kasuga
190,E,8,本郷三丁目,Hongo-sanchome
191,E,9,上野御徒町,Ueno-okachimachi
192,E,10,新御徒町,Shin-okachimachi
193,E,11,蔵前 ,Kuramae
194,E,12,両国,Ryogoku
195,E,13,森下,Morishita
196,E,14,清澄白河 ,Kiyosumi
197,E,15,門前仲町,Monzen-nakacho
198,E,16,月島,Tsukishima
199,E,17,勝どき,Kachidoki
200,E,18,築地市場,Tsukijishijo
201,E,19,汐留,Shiodome
202,E,20,大門,Daimon
203,E,21,赤羽橋,Akabanebashi
204,E,22,麻布十番,Azabu-juban
205,E,23,六本木,Roppongi
206,E,24,青山一丁目,Aoyama-itchome
207,E,25,国立競技場,Kokuritsu-kyogijo
208,E,26,代々木,Yoyogi
209,E,27,新宿,Shinjuku
210,E,28,都庁前,Tochomae
211,E,29,西新宿五丁目,Nishi-shinjuku-gochome
212,E,30,中野坂上,Nakano-sakaue
213,E,31,東中野,Higashi-nakano
214,E,32,中井,Nakai
215,E,33,落合南長崎,Ochiai-minami-nagasaki
216,E,34,新江古田,Shin-egato
217,E,35,練馬,Netima
218,E,36,豊島園,Toshimaen
219,E,37,練馬春日町,Naerima-kasugacho
220,E,38,光が丘,Hikarigaoka
221,S,1,新宿,Shinjuku
222,S,2,新宿三丁目,Shinjuku-sanchome
223,S,3,曙橋,Akebonobashi
224,S,4,市ケ谷,Ichigaya
225,S,5,九段下,Kudanshita
226,S,6,神保町,Jimbocho
227,S,7,小川町,Ogawamachi
228,S,8,岩本町,Iwamotocho
229,S,9,馬喰横山,Bakuro yokoyama
230,S,10,浜町,Hamacho
231,S,11,森下,Morishita
232,S,12,菊川,Kikukawa
233,S,13,住吉,Sumiyoshi
234,S,14,西大島,Nishi-ojima
235,S,15,大島,Ojima
236,S,16,東大島,Higashi-ojima
237,S,17,船堀,Funabori
238,S,18,一之江,Ichinoe
239,S,19,瑞江,Mizue
240,S,20,篠崎,Shinozaki
241,S,21,本八幡,Motoyawata
242,I,1,目黒,Meguro
243,I,2,白金台,Shirokanedai
244,I,3,白金高輪,Shirokane-takanawa
245,I,4,三田,Mita
246,I,5,芝公園,Shibakoen
247,I,6,御成門,Onairimon
248,I,7,内幸町,Uchisaiwaicho
249,I,8,日比谷,Hibiya
250,I,9,大手町,Otemachi
251,I,10,神保町,Jimbocho
252,I,11,水道橋,Suidobashi
253,I,12,春日,Kasuga
254,I,13,白山,Hakusan
255,I,14,千石,Sengoku
256,I,15,巣鴨,Sugamo
257,I,16,西巣鴨,Nishi-sugamo
258,I,17,新板橋,Shin-itabashi
259,I,18,板橋区役所前,Itabashi-kuyakushomae
260,I,19,板橋本町,Itabashihoncho
261,I,20,本蓮沼,Motohasunuma
262,I,21,志村坂上,Shinmura-sakaue
263,I,22,志村三丁目,Shgimura-sanchome
264,I,23,蓮根,Hasuna
265,I,24,西台,Nishidai
266,I,25,高島平,Takashimadaira
267,I,26,新高島平,Shin-takashimadaira
268,I,27,西高島平,Nishi-takashimadaira
269,A,1,西馬込,Nishi-magome
270,A,2,馬込,Magome
271,A,3,中延,Nakanobu
272,A,4,戸越,Togoshi
273,A,5,五反田,Gotando
274,A,6,高輪台,Takanawadai
275,A,7,泉岳寺,Sengakuji
276,A,8,三田,Mita
277,A,9,大門,Daimon
278,A,10,新橋 ,Shimbashi
279,A,11,東銀座,Higashi-ginza
280,A,12,宝町,Takaracho
281,A,13,日本橋,Nihombashi
282,A,14,人形町,Ningyocho
283,A,15,東日本橋,Higashi-Nihombashi
284,A,16,浅草橋,Asakusabashi
285,A,17,蔵前,Kuramae
286,A,18,浅草,Asakusa
287,A,19,本所吾妻橋,Honjo-azumabashi
288,A,20,押上,Oshiage <SKYTREE>
